standard,girder_index,rule_id,combination_name,traffic_action,governing_components,moment_knm,shear_kn,torsion_knm,moment_source_case_id,shear_source_case_id,torsion_source_case_id,factors_json
BS 5400,6,bs_combination_1_sls_hb,BS 5400 combination 1 SLS (hb),hb,,1581.6654479454294,547.06882442663311,89.305553242502768,135,126,143,"{""other_superimposed"": 1.0, ""primary_live"": 1.1, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,6,bs_combination_1_sls_ha_hb,BS 5400 combination 1 SLS (ha_hb),ha_hb,moment;shear;torsion,1619.142935099213,551.42579667136431,93.429139680535457,832,678,746,"{""other_superimposed"": 1.0, ""primary_live"": 1.1, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,6,bs_combination_2_uls_ha,BS 5400 combination 2 ULS (ha),ha,,1362.3038254301864,377.13343066462704,48.76103086416073,179,205,178,"{""other_superimposed"": 1.2, ""primary_live"": 1.25, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,6,bs_combination_2_uls_hb,BS 5400 combination 2 ULS (hb),hb,,1691.0207420630768,576.23023619133903,89.305553242502768,135,126,143,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,6,bs_combination_2_uls_ha_hb,BS 5400 combination 2 ULS (ha_hb),ha_hb,moment;shear;torsion,1728.4982292168604,580.58720843607023,93.429139680535457,832,678,746,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,6,bs_combination_2_sls_ha,BS 5400 combination 2 SLS (ha),ha,,1124.3051191676782,310.89662688464273,39.008824691328584,179,205,178,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,6,bs_combination_2_sls_hb,BS 5400 combination 2 SLS (hb),hb,,1493.3078136402298,512.11666391725998,81.186866584093423,135,126,143,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,6,bs_combination_2_sls_ha_hb,BS 5400 combination 2 SLS (ha_hb),ha_hb,moment;shear;torsion,1527.3782565073059,516.07754777610648,84.935581527759496,832,678,746,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,6,bs_combination_3_uls_ha,BS 5400 combination 3 ULS (ha),ha,,1362.3038254301864,377.13343066462704,48.76103086416073,179,205,178,"{""other_superimposed"": 1.2, ""primary_live"": 1.25, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,6,bs_combination_3_uls_hb,BS 5400 combination 3 ULS (hb),hb,,1691.0207420630768,576.23023619133903,89.305553242502768,135,126,143,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,6,bs_combination_3_uls_ha_hb,BS 5400 combination 3 ULS (ha_hb),ha_hb,moment;shear;torsion,1728.4982292168604,580.58720843607023,93.429139680535457,832,678,746,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
